Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Detail,2023-07-21 21:42:48+00:00,2113,MK,,Cash,885.0,5.0,44.25,,,3,Dine in,"Paneer Ke Shikanje,Papad Masala",
Detail,2023-08-17 00:29:04+00:00,3808,TD,,Cash,3175.0,5.0,158.75,,,2,Dine in,"Bukhara Kofta Curry,Butter Naan,Chilly Crispy Patato,MALWANI BOMBIL FRY,THUMPS UP",
Detail,2023-08-23 14:13:33+00:00,4177,TD,,Cash,2510.0,5.0,125.5,,,6,Dine in,"Crispy Corn,Dim Sum (VEG),HOT POT RICE (VEG),Juices Fresh",
Detail,2023-09-24 14:54:41+00:00,6044,TD,,Cash,1560.0,5.0,78.0,,,22,Dine in,"BURNT GARLIC RICE (VEG),VEG MANCHURIAN DRY",
Detail,2023-09-11 21:43:45+00:00,5392,MK,,Cash,1170.0,5.0,58.5,,,22,Dine in,"Basmati Rice,Subzi Lahori",
Detail,2023-08-16 22:55:28+00:00,3796,TD,,Cash,795.0,5.0,39.75,,,21,Dine in,Navratan Pulao,
Detail,2023-08-25 20:58:19+00:00,4310,SK,,Cash,1880.0,5.0,94.0,,,21,Dine in,"Cheese & Garlic Naan,Murg Makhanwala,Stir Fried Chicken Chilly & Basil",
Detail,2023-09-13 22:26:59+00:00,5483,SK,,Cash,3095.0,5.0,154.75,,,1,Dine in,"Chicken Kebabs (Chicken Angare),FRESH LIME SODA,Mushroom Galauti,Paneer Khurchan,Roti",
Detail,2023-07-09 21:20:47+00:00,1425,SK,,Cash,795.0,5.0,39.75,,,7,Dine in,Chilly Crispy Patato,
Detail,2023-08-28 21:27:38+00:00,4543,Multiple,,Cash,2355.0,5.0,117.75,,,2,Dine in,"Exotic Hot Pot Vegtable,FRIED RICE (VEG),Stir Fried Chicken Chilly & Basil",
Detail,2023-07-09 21:00:20+00:00,1420,SK,,Cash,1355.0,5.0,67.75,,,6,Dine in,"Basmati Rice,Exotic Hot Pot Vegtable,SEVEN UP",
Detail,2023-08-13 22:25:44+00:00,3593,MK,,Cash,1215.0,5.0,60.75,,,21,Dine in,"BUTTER GARLIC NAAN,PANEER BUTTER MASALA,Papad Masala",
Detail,2023-09-22 22:44:49+00:00,5949,TB,,Cash,1695.0,5.0,84.75,,,5,Dine in,"Basmati Rice,Dal Tadka,Murgh -ka-salan",
Detail,2023-08-06 22:08:18+00:00,3106,SK,,Cash,1745.0,5.0,87.25,,,16,Dine in,"DAL KHICHDI,FRESH LIME SODA,Paneer Ke Shikanje,ROASTED MASALA PAPAD",
Detail,2023-08-06 13:04:24+00:00,3038,TB,,Cash,3420.0,5.0,171.0,,,3,Dine in,"Chilly Crispy Patato,Dim Sum (VEG),FRESH LIME SODA,HAKKA NOODLES (VEG),HOT POT NOODLES (VEG)",
Detail,2023-07-07 15:21:56+00:00,1253,TD,,Cash,1745.0,5.0,87.25,,,5,Dine in,"PANEER CHILLY DRY,SZECHWAN NOODLE (VEG),THUMPS UP",
Detail,2023-09-10 15:19:02+00:00,5291,Multiple,,Cash,1560.0,5.0,78.0,,,5,Dine in,"Chilly Crispy Patato,HAKKA NOODLES (VEG)",
Detail,2023-09-03 21:59:27+00:00,4910,Multiple,,Cash,2375.0,5.0,118.75,,,5,Dine in,"DIET COKE,Exotic Stir Fried Vegetable,FRESH LIME SODA,FRIED RICE (Egg),OMELETTE",
