Category_Name,Item_Name,Item_Online_display_name,Price,Commission_Type__P_Percentage__F_Fixed__N_None_,Commission_Value
BAR CLASSIC COCKTAILS,Heaven Melon (GREY GOOSE),Heaven Melon,990,P,5
BAR CLASSIC COCKTAILS,Heaven Melon (KETEL ONE),Heaven Melon,750,P,5
BAR CLASSIC COCKTAILS,Martini (GORDON'S),martini,725,P,5
BAR CLASSIC COCKTAILS,Martini (BOMBAY SAPPHIRE),martini,725,P,5
BAR CLASSIC COCKTAILS,Martini (HENDRICKS),martini,1050,P,5
BAR CLASSIC COCKTAILS,Martini (MONKEY 47),martini,1050,P,5
BAR CLASSIC COCKTAILS,Martini (THE BOTANIST),martini,1400,P,5
BAR CLASSIC COCKTAILS,Martini (THE BOTANIST),martini,1400,P,5
BAR CLASSIC COCKTAILS,Martini (TANQUERAY),martini,750,P,5
BAR CLASSIC COCKTAILS,Toddy (REGULAR),,900,P,5
BAR CLASSIC COCKTAILS,Toddy (VSOP),,1800,P,5
BAR CLASSIC COCKTAILS,Toddy (XO),,5000,P,5
BAR CLASSIC COCKTAILS,Gimlet (GORDON'S),,725,P,5
BAR CLASSIC COCKTAILS,Gimlet (BOMBAY SAPPHIRE),,725,P,5
BAR CLASSIC COCKTAILS,Gimlet (MONKEY 47),,1050,P,5
BAR CLASSIC COCKTAILS,Gimlet (HENDRICKS),,1050,P,5
BAR CLASSIC COCKTAILS,Gimlet (THE BOTANIST),,1400,P,5
BAR CLASSIC COCKTAILS,Gimlet (TANQUERAY),,750,P,5
BAR CLASSIC COCKTAILS,Kamikaze (ABSOLUT),,725,P,5
BAR CLASSIC COCKTAILS,Kamikaze (GREY GOOSE),,990,P,5
BAR CLASSIC COCKTAILS,Kamikaze (CIROC),,990,P,5
BAR CLASSIC COCKTAILS,Kamikaze (BELVEDERE),,990,P,5
BAR CLASSIC COCKTAILS,Kamikaze (KETEL ONE),,750,P,5
