Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Rooftop Continental,Butter Amul,PKT,18.0,43.673999999999715,-25.673999999999715,-142.63333333333173
Rooftop Continental,Capsicum,Kg,16.0,73.45499999999993,-57.45499999999993,-359.09374999999955
Rooftop Continental,Carrots,Kg,2.5,32.40999999999992,-29.90999999999992,-1196.3999999999967
Rooftop Continental,Celery Leaves,Kg,4.0,0.8099999999999999,3.19,79.75
Rooftop Continental,Check Duster,PCS,6.0,,,
Rooftop Continental,Cheese Amul,Kg,25.0,13.455000000000004,11.544999999999996,46.179999999999986
Rooftop Continental,Cheese Mozzarella,Kg,20.0,,,
Rooftop Continental,Cherry Tomato,Kg,2.25,,,
Rooftop Continental,Chilli Flakes,Kg,1.0,,,
Rooftop Continental,Coconut Milk Powder,PKT,5.0,32.152000000000044,-27.152000000000044,-543.0400000000009
Rooftop Continental,Coriander Leaves,Kg,6.0,19.017999999999713,-13.017999999999713,-216.96666666666187
Rooftop Continental,Corn Flour,Kg,6.0,12.114000000000003,-6.1140000000000025,-101.90000000000003
Rooftop Continental,Dhaniya Whole,Kg,1.0,0.485,0.515,51.5
Rooftop Continental,Dukes Soda,BTL,72.0,,,
Rooftop Continental,French Fries 9mm,PKT,4.0,,,
Rooftop Continental,French Lettuce Green,Kg,0.75,,,
Rooftop Continental,Fresh Basil,Kg,5.5,2.782000000000001,2.717999999999999,49.4181818181818
Rooftop Continental,Fresh Beans,Kg,1.5,3.2200000000000015,-1.7200000000000015,-114.66666666666676
Rooftop Continental,Fresh Mushroom,Kg,2.0,36.32499999999999,-34.32499999999999,-1716.2499999999995
Rooftop Continental,Gherkins,BTL,1.0,,,
