Item_Name_k,Preparation_Time_Taken_Mins_k
Kai Yooung,83.672
KUNG PAO PANEER,83.7399107142857
Subzi Bhara Aloo,83.748730158730169
HOUSEWINE-IMPORTED RED,84.124223602484463
BIRA 91,84.33308593750003
Sula Satori,84.366034482758621
Suimono Soup (SEA FOOD),84.38
Chicken Kebabs (Makhmali),84.381489361702165
Funci Tongi Soup (CHICKEN),84.383103448275875
Screw Driver (ABSOLUT),84.42517857142856
Wonton & Noodle Soup (CHICKEN),84.454146341463442
JACK DANIELS - HONEY,84.460769230769216
TANDOORI GOBI,84.480769230769226
Sex On The Beach (KETEL ONE),84.55
Kung Pao Chicken,84.620352733686076
Sour & Pepper Soup (CHICKEN),84.625794392523346
Between The Sheets,84.716428571428565
Caprioska (GREY GOOSE),84.741358024691408
Alaska,84.747654320987664
Cosmopolitan (CIROC),84.823333333333323
Tishing Hai Chicken,84.851822916666663
Lemon Ice Tea,84.854246823956487
TEACHER'S 50,84.87608208955227
Peach Satin,84.877823129251652
Tossed Salad,84.920625
Dragon Roll (PRAWNS),85.111538461538458
CHIVAS REGAL,85.189109311740808
Frozen Jungle Daiquiri,85.235806451612888
VAT 69,85.250750000000025
GLENFIDDICH - 12 YEARS,85.263525641025652
Coastal Surmai (Rawa Fry),85.381904761904778
VS,85.427222222222227
Dim Sum (PRAWNS),85.463818181818155
COFFEE,85.4869182389937
Coastal Rawas (Masala Fry),85.608333333333334
ANTIQUITY BLUE,85.68488549618327
TEA,85.73744979919681
GOLD LABEL,85.74666666666667
Virgin Colada,85.750989988876512
Tandoori Prawns  (100 Gms) (100 GMS),85.757948717948722
HOEGAARDEN,85.850529914529915
Tom Yum Soup (CHICKEN),85.927722772277264
Stir Fried Chicken Chilly & Basil,86.037029177718935
Chicken Hoisin,86.049387755102
Burnt Garlic Soup (CHICKEN),86.120790697674408
Heaven Melon (GREY GOOSE),86.14625
Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,86.1472294372296
Juices Fresh,86.158919491525381
BLACK LABEL,86.168152610441766
GREY GOOSE,86.192404181184642
Cosmopolitan (REGULAR),86.193478260869583
Sweet Corn Soup (CHICKEN),86.212376502002712
Sex On The Beach (ABSOLUT),86.261851851851873
Fruit Punch,86.27884120171683
GLENLIVET - 12 YEARS,86.363556701030959
Macallan 15 Yrs,86.41
Subzi Maharaja Sheek,86.480140845070466
Chicken Kebabs (Murg Bemisal),86.507247706422021
Whisky Sour (BLACK LABEL),86.536071428571432
SHORBA (Dal),86.588064516129009
Beer Three + One,86.594396551724145
CHICKEN TIKKA (Jamaican),86.601936936936966
MALWANI BOMBIL FRY,86.62027397260276
GLENMORANGIE - 10 YEARS,86.686530612244923
Chicken Kebabs (Chicken Malai),86.73626146789
Blue Lagoon (ABSOLUT),86.761578947368434
Mushroom Paneer Babycorn In Red Chilli Flakes,86.902352941176488
KINGFISHER ULTRA,86.934127764127837
WONTON (PRAWNS),86.996666666666655
Chicken Kebabs (Patra Chicken),87.0245913461538
DIPLOMATIC MAN TUANO,87.085
SIGNATURE,87.225208333333327
Wonton & Noodle Soup (VEG),87.254762979683946
Cottage Cheese With Three Peppers,87.3330843706776
CHICKEN SUKHA,87.390000000000029
Guava Delight (ABSOLUT),87.416666666666671
Negroni (REGULAR),87.463157894736838
The Source Sauvignon Blanc,87.48789473684208
Ginger Ale,87.538655462184948
OLD MONK (DARK),87.618161209068049
Sour & Pepper Soup (VEG),87.7494527363184
Tandoori Rawas,87.793461538461543
Chivas Regal 18 Years,87.8
Cono Sur Pinot Noir,87.814285714285717
GLENFIDDICH - 18 YEARS,87.84174999999999
Coastal Surmai,87.894545454545437
Nam Prick (VEG),88.082857142857151
CORONA,88.135216741405
White Lady (BOMBAY SAPPHIRE),88.25266666666667
Spice Guava,88.377206085753684
"Brocoli,babycorn Mushroom Sizzle Chilly",88.377737704918
Basil Garlic Cheesy Potato,88.398262910798138
Ginger Bliss,88.464275184275166
HOUSEWINE-IMPORTED ROSE,88.52785714285713
Chicken Kebabs (Murg Lalwari),88.5304545454545
ABSOLUT,88.54142566191446
Thod Man Khow Phad,88.542857142857173
MARTINI (dry/swee),88.775384615384624
EGG GHEE ROAST,88.837647058823521
Ceasar Salad,88.887024390243937
Crab (900 GMS),88.97999999999999
Teriyaki Veg,89.008520408163278
Tandoori Pompfret (500 GMS),89.050909090909087
Roast Lamb In Black Peper,89.070640569395039
Nam Prick (CHICKEN),89.13928571428572
Tom Yum Soup (VEG),89.144611398963718
Tandoori Surmai,89.19891891891892
Sangria (IMPORTED),89.217976190476207
Prawns (100 GMS),89.251401673640146
Long Island Ice Tea,89.303763066202038
Crispy Chicken Chef Style,89.4619696969697
Suimono Soup (CHICKEN),89.50090909090909
Tandoori Prawns (REGULAR),89.52
Virgin Mojito,89.535013881176937
MONKEY SHOULDER,89.591158536585425
Chicken Kebabs (Chicken Reshmi),89.637831858407068
Martini (REGULAR),89.679999999999993
Crispy Spinach Paneer,89.698700564971773
Old Fashioned (GLENFIDDICH - 12 YEARS),89.719999999999985
Surmai (Koliwada),89.743333333333339
Manchow Soup (CHICKEN),89.7621246006389
BACARDI LEMON,89.7632857142857
Dingri Lasooni,89.853394648829465
Chilly Basil Mushroom,89.864880952380958
Toddy (VSOP),89.946578947368423
CLEAR SOUP (VEG),89.964565217391254
Veg Cheesy Roll,89.990473684210528
Subzi Methi Ki Sheek,90.024204545454566
Crispy Corn,90.027940691927782
JACK DANIELS - FIRE,90.06
Chinese Prawns (100 GMS),90.064656084656065
CHICKEN GHEE ROAST,90.072043010752665
Pompfret (1000 GMS),90.104375
Dim Sum (Mixed Seafood),90.1275
Manhattan (JACK DANIEL'S),90.160740740740735
Prawns  REG,90.249979959919955
Tandoori Chicken (FULL),90.294424778761083
Pina Colada,90.3224427480916
Martini (HENDRICKS),90.352222222222224
WONTON (VEG),90.41479166666663
Sweet Corn Soup (VEG),90.43575558475689
Virgin Margarita,90.443877551020393
CAPTAIN MORGAN (BLACK),90.460000000000008
Martini (BOMBAY SAPPHIRE),90.505999999999986
Mustard Soup (CHICKEN),90.616551724137935
Bloody Mary (REGULAR),90.66483870967744
Pepper Blast Chicken,90.676012658227862
Mojito,90.736611111111145
