Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,Covers
Details,,2024-10-16 00:04:49+00:00,11615,SK,,,3.0
Details,,2024-10-06 20:20:47+00:00,11014,SK,,,2.0
Details,,2024-10-16 00:32:45+00:00,11616,SK,,,5.0
Details,,2024-10-10 23:19:15+00:00,11225,SK,,,4.0
Details,,2024-10-16 20:25:50+00:00,11652,SK,,,2.0
Details,,2024-10-03 22:20:44+00:00,10837,SK,,,2.0
Details,,2024-10-08 20:35:50+00:00,11125,SK,,,2.0
Details,,2024-10-03 22:00:12+00:00,10832,SK,,,8.0
Details,,2024-10-02 22:52:18+00:00,10792,SK,,,3.0
Details,,2024-10-15 22:49:17+00:00,11606,SK,,,2.0
Details,,2024-10-07 00:06:25+00:00,11056,SK,,,8.0
Details,,2024-10-05 23:46:38+00:00,10964,SK,,,1.0
Details,,2024-10-12 01:09:50+00:00,11309,SK,,,4.0
Details,,2024-10-02 00:42:45+00:00,10721,SK,,,2.0
Details,,2024-10-12 20:06:53+00:00,11358,SK,,,4.0
Details,,2024-10-13 15:47:04+00:00,11446,SK,,,7.0
Details,,2024-10-05 22:34:41+00:00,10950,SK,,,3.0
Details,,2024-10-13 23:16:54+00:00,11515,SK,,,4.0
Details,,2024-10-03 21:53:19+00:00,10830,SK,,,3.0
Details,,2024-10-02 22:05:54+00:00,10783,SK,,,12.0
Details,,2024-10-10 20:13:18+00:00,11202,SK,,,2.0
Details,,2024-10-02 21:34:06+00:00,10777,SK,,,4.0
Details,,2024-10-08 21:46:36+00:00,11132,SK,,,12.0
Details,,2024-10-02 21:08:13+00:00,10770,SK,,,2.0
Details,,2024-10-11 22:34:24+00:00,11282,SK,,,7.0
Details,,2024-10-10 23:29:40+00:00,11227,SK,,,2.0
Details,,2024-10-04 00:16:50+00:00,10851,SK,,,2.0
Details,,2024-10-16 23:15:03+00:00,11677,SK,,,3.0
Details,,2024-10-10 22:41:19+00:00,11217,SK,,,2.0
Details,,2024-10-03 00:21:29+00:00,10801,SK,,,6.0
Details,,2024-10-15 21:37:49+00:00,11592,SK,,,7.0
Details,,2024-10-06 21:59:29+00:00,11035,SK,,,5.0
Details,,2024-10-17 21:16:01+00:00,11701,SK,,,2.0
Details,,2024-10-03 21:30:21+00:00,10824,SK,,,4.0
Details,,2024-10-12 22:37:42+00:00,11381,SK,,,3.0
Details,,2024-10-05 20:30:44+00:00,10927,SK,,,2.0
Details,,2024-10-12 00:16:27+00:00,11303,SK,,,4.0
Details,,2024-10-03 22:07:53+00:00,10834,SK,,,4.0
Details,,2024-10-05 21:28:48+00:00,10937,SK,,,3.0
Details,,2024-10-12 23:16:12+00:00,11399,SK,,,3.0
Details,,2024-10-12 21:25:44+00:00,11372,SK,,,3.0
Details,,2024-10-11 23:29:20+00:00,11294,SK,,,2.0
